,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,status_count,follower_count,following_count,num_days,account_creation_date,account_language,statuses_per_day,followers_per_day,following_per_day,desc_len_terms,desc_len_chars,num_list_items,num_hashtags,url_count,has_location,last_tweet_date,class_value
2359,r+icl80dEKImUD1HZdWfWJpkhSD+lBKCza2wZUEADE=,r+icl80dEKImUD1HZdWfWJpkhSD+lBKCza2wZUEADE=,r+icl80dEKImUD1HZdWfWJpkhSD+lBKCza2wZUEADE=,,خیلیا منو زدن ... پاسبونا ... شوفرا ...  همیشه بعدِ هر یه کتک خوردنِ مفصل یه جوری میشم ... از دردش خوشم میاد ...,184,940,604,425,2017-03-27,en,0.43294117600000004,2.211764706,1.4211764709999999,17,112,16,0,0,0,2018-05-26 12:12,bot
2543,RJzsgGI0KM6zguKmt3uTkcqWN4GwmcvYMaExxhqVuM=,RJzsgGI0KM6zguKmt3uTkcqWN4GwmcvYMaExxhqVuM=,RJzsgGI0KM6zguKmt3uTkcqWN4GwmcvYMaExxhqVuM=,,So you want to hear a couple of general and useless tweets?,561,671,1854,944,2016-01-16,en,0.5942796610000001,0.710805085,1.963983051,12,59,1,0,0,0,2018-08-17 16:09,bot
2925,KqMpyIoHzAhxbeDG56z4Wib7+WAyZFg5Hfzp5MHn0x4=,KqMpyIoHzAhxbeDG56z4Wib7+WAyZFg5Hfzp5MHn0x4=,KqMpyIoHzAhxbeDG56z4Wib7+WAyZFg5Hfzp5MHn0x4=,,چقدر ما دچار روزمرگی شدیم! خدایا یه تغییری...,12,292,229,880,2015-12-19,en,0.013636364,0.331818182,0.260227273,8,45,4,0,0,0,2018-05-17 10:53,bot
11122,OW0LRr4nuYkEGMLBcLCo9WoRJllnJ5KeEigL+Vh9YXY=,OW0LRr4nuYkEGMLBcLCo9WoRJllnJ5KeEigL+Vh9YXY=,OW0LRr4nuYkEGMLBcLCo9WoRJllnJ5KeEigL+Vh9YXY=,Venezuela,SOMOS LA ORDEN PATRIA. Batallando Contra la derecha y cualquier enemigo de la Patria. Nuestra Espada es la Verdad. #ORDENPATRIA,32,249,241,529,2017-02-04,es,0.060491493,0.47069943299999994,0.45557656,20,127,4,1,0,1,2018-07-18 11:41,bot
8347,f662a5f8ff9a7cb965ea606433ee59b7998ffb364c1b8f339fb7b21653342ae2,f662a5f8ff9a7cb965ea606433ee59b7998ffb364c1b8f339fb7b21653342ae2,f662a5f8ff9a7cb965ea606433ee59b7998ffb364c1b8f339fb7b21653342ae2,Тамань,"Я хочу, чтобы мир посмотрел на себя со стороны. Подписываемся #followme #followbackRU",9894,643,501,761,2013-11-27,ru,13.00131406,0.844940867,0.658344284,12,85,2,2,0,1,2015-12-28 21:18,bot
5953,9.45991E+17,farnoosh petrosian,farnoosh_petro4,اراک,"Sometimes, it’s better to be alone… No one can hurt you.",1,0,0,11,2017-12-27,fa,0.090909091,0.0,0.0,11,56,2,0,0,1,2018-01-07 11:31,bot
9348,b00e7ace89de79792683daf0de7266110a920367a4232d8b76657264c632490a,b00e7ace89de79792683daf0de7266110a920367a4232d8b76657264c632490a,b00e7ace89de79792683daf0de7266110a920367a4232d8b76657264c632490a,Питер,я просто красавчик #followback,9126,2025,329,1189,2012-08-03,ru,7.675357442999999,1.703111859,0.276703112,4,30,1,1,0,1,2015-11-05 20:12,bot
7982,d4deec46d57c7e57872a52796ef2128d0ef354d0354c008a60d554a971c5816d,d4deec46d57c7e57872a52796ef2128d0ef354d0354c008a60d554a971c5816d,d4deec46d57c7e57872a52796ef2128d0ef354d0354c008a60d554a971c5816d,Краснодар ,мысли материализуются,426,246,252,1359,2013-08-05,ru,0.31346578399999997,0.18101545300000002,0.185430464,2,21,1,0,0,1,2017-04-25 10:06,bot
8346,9824d99c89e8a48dd2b536339eb52d689637694febf98ab7940fc48d21dd1b21,9824d99c89e8a48dd2b536339eb52d689637694febf98ab7940fc48d21dd1b21,9824d99c89e8a48dd2b536339eb52d689637694febf98ab7940fc48d21dd1b21,Wonderland,Life is 10% what happens to me and 90% of how I react to it.,434,27,112,253,2014-05-13,en,1.71541502,0.10671936800000001,0.442687747,13,60,2,0,0,1,2015-01-21 14:28,bot
9125,914e6510f11a9f61c47194d577bb59fc0e38ff0e0270a297359c5c1a5106b806,914e6510f11a9f61c47194d577bb59fc0e38ff0e0270a297359c5c1a5106b806,914e6510f11a9f61c47194d577bb59fc0e38ff0e0270a297359c5c1a5106b806,"Queens, NY",One advantage of talking to yourself is that you know at least somebody's listening,12,2,56,37,2017-05-22,en,0.324324324,0.054054054000000004,1.513513514,14,83,1,0,0,1,2017-06-28 13:38,bot
4206,1chC3dYPfcihvxZvisHQTIs+WBMb+W8bZ1Hl4MbC50=,1chC3dYPfcihvxZvisHQTIs+WBMb+W8bZ1Hl4MbC50=,1chC3dYPfcihvxZvisHQTIs+WBMb+W8bZ1Hl4MbC50=,,"Too many people are looking for something better, when everything they need is right in front of them",796,67,371,999,2015-11-16,en,0.7967967970000001,0.06706706700000001,0.371371371,18,101,1,0,0,0,2018-08-11 16:04,bot
12126,8.89755E+17,Lizbeth Davis,lizzbetTrr,Estados Unidos,"Freelance Writer,World Affairs, Architectural Designer, Businessman #MAGA #PATRIOT Follow me",6,0,0,1,2017-07-25,es,6.0,0.0,0.0,11,92,1,2,0,1,2017-07-25 08:57,bot
1176,839721253,Israel's War Crimes,IsraelWC1,PALESTINE,"With all the due respect to Moses and those among the Jews who are truly faithful, We considers #Israel a war criminal.",14499,27457,15591,2160,2012-09-22,en,6.7125,12.71157407,7.218055556,22,119,2,1,0,1,2018-08-22 16:38,bot
5305,8i45cCMqTJ3CJRP1sZZNMyKFFNGZ9ovgMDXiieZ4=,8i45cCMqTJ3CJRP1sZZNMyKFFNGZ9ovgMDXiieZ4=,8i45cCMqTJ3CJRP1sZZNMyKFFNGZ9ovgMDXiieZ4=,Riyadh,صحفي/ اعلامي/ مقدم برنامج مرايا على قناة العربية/ كاتب في جريدة الشرق الاوسط,1635,3270,2,1208,2015-10-31,ar,1.3534768209999999,2.7069536419999998,0.001655629,10,76,1,0,0,1,2019-02-20 20:26,bot
140,feedb13fba85f5c69fc52c0bc2972126a086e3b914e6421ce375636a20e1fc7e,feedb13fba85f5c69fc52c0bc2972126a086e3b914e6421ce375636a20e1fc7e,feedb13fba85f5c69fc52c0bc2972126a086e3b914e6421ce375636a20e1fc7e,,"I’m very choosy. I’m also very suspicious, very irrational and I have a very short temper. I’m also extremely jealous and slow to forgive. Just so you know.",543,419,1922,914,2016-02-15,en,0.594091904,0.45842450799999995,2.102844639,31,156,5,0,0,0,2018-08-17 12:17,bot
2183,XGLLBG5E7Gr2vmNCZdOphmdpqG1pa3x+7mkXrLCDWk=,XGLLBG5E7Gr2vmNCZdOphmdpqG1pa3x+7mkXrLCDWk=,XGLLBG5E7Gr2vmNCZdOphmdpqG1pa3x+7mkXrLCDWk=,,"Financial Analyst,global software exec passionate about the future of IT,sports weekend warrior for 2 kids",625,94,624,587,2016-12-28,en,1.064735945,0.160136286,1.063032368,16,106,1,0,0,0,2018-08-07 15:46,bot
1002,oPA0wPgMU3tr7AZYVKkc2FCDRUxC3VjV4iwP1JpPrWs=,oPA0wPgMU3tr7AZYVKkc2FCDRUxC3VjV4iwP1JpPrWs=,oPA0wPgMU3tr7AZYVKkc2FCDRUxC3VjV4iwP1JpPrWs=,,Model/physicist/liar,912,161,246,1156,2015-06-16,en,0.788927336,0.139273356,0.212802768,0,20,1,0,0,0,2018-08-15 19:27,bot
10991,eRI7GzFqVAVb26ofynzf5jsrp8UQeR6WRk4QBpntB4A=,eRI7GzFqVAVb26ofynzf5jsrp8UQeR6WRk4QBpntB4A=,eRI7GzFqVAVb26ofynzf5jsrp8UQeR6WRk4QBpntB4A=,"Caracas, Venezuela","Me encanta viajar, Venezolana",1,26,68,640,2017-01-21,es,0.0015625,0.040625,0.10625,4,29,1,0,0,1,2018-10-23 01:29,bot
12160,I3sSMZDTGs7IUaJ1KL7RI5VPhdNSPJ20sicQwdT8KEs=,I3sSMZDTGs7IUaJ1KL7RI5VPhdNSPJ20sicQwdT8KEs=,I3sSMZDTGs7IUaJ1KL7RI5VPhdNSPJ20sicQwdT8KEs=,Estados Unidos,"100%Conservative, not brainwashed, love my country, my bible and my guns.Voted for Donald J Trump & proud of it! @NRA #draintheswamp #MAGA #DixieCupNation",163,62,950,10,2017-08-08,es,16.3,6.2,95.0,21,154,2,3,0,1,2017-08-18 09:32,bot
8302,20b9f016f0052c29f448411206c8620a4d090ed4cb2c5649cfe666ad922eba93,20b9f016f0052c29f448411206c8620a4d090ed4cb2c5649cfe666ad922eba93,20b9f016f0052c29f448411206c8620a4d090ed4cb2c5649cfe666ad922eba93,Кронштадт,"сила - в правде, у кого правда, тот и сильнее!!!",17127,679,1683,875,2013-08-05,ru,19.57371429,0.7759999999999999,1.9234285709999999,9,48,1,0,0,1,2015-12-28 19:32,bot
902,5focTJF1EfAmm8LskXTbUJRx8i3S9ygmxCp4vuRpzeQ=,5focTJF1EfAmm8LskXTbUJRx8i3S9ygmxCp4vuRpzeQ=,5focTJF1EfAmm8LskXTbUJRx8i3S9ygmxCp4vuRpzeQ=,"اسلام آباد, پاکستان","Islamabad PTI, Pakistan Zindabad,",4846,249,141,273,2017-09-06,en,17.75091575,0.9120879120000001,0.516483516,4,33,1,0,0,1,2018-06-06 20:23,bot
364,ae041c4a6397be4e6338f7233c072a393bc2ec5a7e14770f097b2df6cad968b7,ae041c4a6397be4e6338f7233c072a393bc2ec5a7e14770f097b2df6cad968b7,ae041c4a6397be4e6338f7233c072a393bc2ec5a7e14770f097b2df6cad968b7,Hashemite Kingdom of Jordan,رمال الصحاري,531,6,34,192,2017-11-30,en,2.765625,0.03125,0.177083333,2,12,1,0,0,1,2018-06-10 19:37,bot
9371,2533364158,Вестник Екатеринбург,NovostiEkb,"Ekaterinburg, Russia",Сердце Урала. #Екатеринбург #Екб #Новости,11298,59021,1252,1205,2014-05-06,en,9.37593361,48.98008299,1.0390041490000002,5,41,2,3,0,1,2017-08-23 18:15,bot
8089,f02ee448dfd71cc4dedbbac3ef11b4724962aa3254e9663a112187910a86e97f,f02ee448dfd71cc4dedbbac3ef11b4724962aa3254e9663a112187910a86e97f,f02ee448dfd71cc4dedbbac3ef11b4724962aa3254e9663a112187910a86e97f,Москва,политические разговоры на кухонке,5470,355,1835,773,2013-11-15,ru,7.076326002999999,0.459249677,2.3738680469999998,4,33,1,0,0,1,2015-12-28 20:13,bot
9496,63f2d71b159524626838d9e899cc103fac8e0d26ad2475a098ceb23ea0986717,63f2d71b159524626838d9e899cc103fac8e0d26ad2475a098ceb23ea0986717,63f2d71b159524626838d9e899cc103fac8e0d26ad2475a098ceb23ea0986717,,Ich mag reisen,420,263,736,449,2016-07-04,de,0.935412027,0.585746102,1.6391982180000002,3,14,1,0,0,0,2017-09-26 18:03,bot
7128,ea52395530841bc0dd9c366b5abe95c3629ad807b518d11edf7c9eb7d6270fad,ea52395530841bc0dd9c366b5abe95c3629ad807b518d11edf7c9eb7d6270fad,ea52395530841bc0dd9c366b5abe95c3629ad807b518d11edf7c9eb7d6270fad,"New York, NY",Don't ever let your mind stop you from having a good time. (c)Jason Mraz,88,174,886,30,2015-05-21,en,2.933333333,5.8,29.53333333,15,72,2,0,0,1,2015-06-20 23:22,bot
11718,GlFR3K2GRbIAywInyZWAxb91T7oU47cb3AzCJlqbyA=,GlFR3K2GRbIAywInyZWAxb91T7oU47cb3AzCJlqbyA=,GlFR3K2GRbIAywInyZWAxb91T7oU47cb3AzCJlqbyA=,caracas ,Licenciada en Comunicaciones y Electrónica.,592,45,38,1205,2014-05-19,es,0.49128630700000003,0.037344398,0.03153527,5,43,2,0,0,1,2017-09-05 23:08,bot
7749,e0246a9e9adc2eb22c5ddd2fc11fa9abdc05f048b8293f5b05c800435a210280,e0246a9e9adc2eb22c5ddd2fc11fa9abdc05f048b8293f5b05c800435a210280,e0246a9e9adc2eb22c5ddd2fc11fa9abdc05f048b8293f5b05c800435a210280,USA,"Christian, Pro American, Anti-Rino Conservative, Boxing affianado, organic healthful nutrition",729,576,621,1058,2013-06-15,en,0.689035917,0.54442344,0.586956522,9,94,1,0,0,1,2016-05-08 20:10,bot
6177,U00GiltQxMdlPjgQpAGJjVdazsPz8IAWNPcxIcwUU=,U00GiltQxMdlPjgQpAGJjVdazsPz8IAWNPcxIcwUU=,U00GiltQxMdlPjgQpAGJjVdazsPz8IAWNPcxIcwUU=,,"کتابدار دانشگاه شریف پیام نور 📖
‏بیشتر کتاب بخوانیم📚",56,108,115,487,2017-12-12,en,0.11498973300000001,0.22176591399999998,0.23613963,6,52,1,0,0,0,2019-04-13 13:17,bot
4570,x+O3mmUCqFed+G3pxQKQNIxp06dGuFPCgqVZX6lnc=,x+O3mmUCqFed+G3pxQKQNIxp06dGuFPCgqVZX6lnc=,x+O3mmUCqFed+G3pxQKQNIxp06dGuFPCgqVZX6lnc=,فارس,"مسخره ترین سوالی که میشه از یکی پرسید:
 - میتونم بهت اعتماد کنم ؟!
 در تاریخ حتی یک مورد هم جواب منفی ثبت نشده!!!!",22,15,56,164,2017-12-27,en,0.134146341,0.091463415,0.341463415,22,114,2,0,0,1,2018-06-09 10:49,bot
11617,snR8PN3K7C8SQNFwMvlUmY9QVI1OZf4nwsy3IZLT4=,snR8PN3K7C8SQNFwMvlUmY9QVI1OZf4nwsy3IZLT4=,snR8PN3K7C8SQNFwMvlUmY9QVI1OZf4nwsy3IZLT4=,,La constancia es el título del triunfo.,4527,18,23,519,2016-03-14,es,8.722543352999999,0.034682081000000003,0.044315992,7,39,2,0,0,0,2017-08-15 14:14,bot
6421,3iwD+nfFNvVjYtCzo2Hr+0XWC4EPBzDuaw8ShtqdXIo=,3iwD+nfFNvVjYtCzo2Hr+0XWC4EPBzDuaw8ShtqdXIo=,3iwD+nfFNvVjYtCzo2Hr+0XWC4EPBzDuaw8ShtqdXIo=,تهران,"الان کجایى ؟ زیر نور روشن ولى محو تو قلبم رو به آتش کشیدى, حالا کجایى .. ؟",91,68,336,192,2017-11-20,en,0.47395833299999995,0.35416666700000005,1.75,15,74,3,0,0,1,2018-05-31 13:05,bot
4890,UAouGOu1fQBIDF5C+wGzfVcr+dyI3hyXRvw8a43Hn4=,UAouGOu1fQBIDF5C+wGzfVcr+dyI3hyXRvw8a43Hn4=,UAouGOu1fQBIDF5C+wGzfVcr+dyI3hyXRvw8a43Hn4=,"Tehidy, England","خبرنگار پایگاه خبری جام نیوز
جهان خبر، جهان به روز شدن در اتفاقات و جریانات در زندگی",11,118,275,419,2017-11-14,en,0.026252982999999997,0.281622912,0.656324582,16,84,1,0,0,1,2019-01-07 19:48,bot
4137,bUzqM3GYUWLvtNklfdpdqAF0v5iHkqogX+Ni+XB2tw=,bUzqM3GYUWLvtNklfdpdqAF0v5iHkqogX+Ni+XB2tw=,bUzqM3GYUWLvtNklfdpdqAF0v5iHkqogX+Ni+XB2tw=,,"Forrester analyst and lifelong student. Fascinated by consumer behavior, the art of storytelling, and meaningful insights that make the world a better place.",752,232,1017,822,2016-05-15,en,0.9148418490000001,0.282238443,1.237226277,23,157,3,0,0,0,2018-08-15 20:08,bot
1696,INPE3DJu7NdezFGB0KwlcDs10ZM+7a3Ree0IKZ3Fg=,INPE3DJu7NdezFGB0KwlcDs10ZM+7a3Ree0IKZ3Fg=,INPE3DJu7NdezFGB0KwlcDs10ZM+7a3Ree0IKZ3Fg=,,"You can apologize over and over but if your actions don’t change, the words become meaningless",799,100,574,918,2016-02-05,en,0.87037037,0.108932462,0.625272331,17,94,1,0,0,0,2018-08-11 15:57,bot
10919,gIKGXiWSm15vZwSsDtWQqJHk6YC6Uie7LoHhHhA8o=,gIKGXiWSm15vZwSsDtWQqJHk6YC6Uie7LoHhHhA8o=,gIKGXiWSm15vZwSsDtWQqJHk6YC6Uie7LoHhHhA8o=,Coney Island,"Official Twitter, Chief of The Warriors.",3212,1071,3042,769,2015-02-07,es,4.176853056000001,1.392717815,3.9557867360000003,6,40,2,0,0,1,2017-03-17 18:49,bot
3657,wOc2GiFBYdLq9q8ZCsAm+lXc8tqGOYMUW93bvTkBA=,wOc2GiFBYdLq9q8ZCsAm+lXc8tqGOYMUW93bvTkBA=,wOc2GiFBYdLq9q8ZCsAm+lXc8tqGOYMUW93bvTkBA=,,"My first rule: I don’t believe anything the government tells me. I trust no living man on this earth, only me! Too many liars/devils! God is great!",790,183,1080,770,2016-06-28,en,1.0259740259999999,0.237662338,1.4025974030000001,27,147,3,0,0,0,2018-08-07 15:30,bot
582,6ada1b5f220a5097d9f7deac1e4e3cde1b8b9a34f814d076de44f2560273ac91,6ada1b5f220a5097d9f7deac1e4e3cde1b8b9a34f814d076de44f2560273ac91,6ada1b5f220a5097d9f7deac1e4e3cde1b8b9a34f814d076de44f2560273ac91,Islamic Republic of Iran,"'The Isle' is a programme that studies current events in the UK, and gives an insight into life, politics, social, economic and general topics.",46,12,43,175,2016-12-07,en,0.262857143,0.068571429,0.245714286,23,143,2,0,0,1,2017-05-31 10:47,bot
4056,ZypZCFMCBdUl3R8qJ0sIkt34zkPTzz4Q8ZAnJjGU=,ZypZCFMCBdUl3R8qJ0sIkt34zkPTzz4Q8ZAnJjGU=,ZypZCFMCBdUl3R8qJ0sIkt34zkPTzz4Q8ZAnJjGU=,,Arts Editor at the Boston Globe,753,222,1026,1043,2015-09-29,en,0.721955896,0.212847555,0.9837008629999999,6,31,1,0,0,0,2018-08-07 15:50,bot
318,3cb4bd0283db0a14cebda54eb7c140372a9e4498ea3ca921c9977f4440f1892f,3cb4bd0283db0a14cebda54eb7c140372a9e4498ea3ca921c9977f4440f1892f,3cb4bd0283db0a14cebda54eb7c140372a9e4498ea3ca921c9977f4440f1892f,,"Job Opportunity Promoter, I follow back for FREE!!!",745,618,2327,1151,2015-06-25,en,0.647263249,0.536924414,2.0217202430000003,8,51,1,0,0,0,2018-08-19 14:04,bot
10654,ih6JStG6Vwb+6XONQBhqFs2K6Hlu0gtZTEvYrSMXw4=,ih6JStG6Vwb+6XONQBhqFs2K6Hlu0gtZTEvYrSMXw4=,ih6JStG6Vwb+6XONQBhqFs2K6Hlu0gtZTEvYrSMXw4=,"New York, USA",Professional alcohol enthusiast .sometimes,34,96,293,155,2015-03-11,en,0.219354839,0.619354839,1.890322581,3,42,2,0,0,1,2015-08-13 02:45,bot
1122,WCxkIcCmgGGzGeg8J94XdRMg7sovazy+n+qMDOQCmCU=,WCxkIcCmgGGzGeg8J94XdRMg7sovazy+n+qMDOQCmCU=,WCxkIcCmgGGzGeg8J94XdRMg7sovazy+n+qMDOQCmCU=,"England, United Kingdom",ما از جهانیان، هیچ نمی خواهیم، جز احترام,33,190,165,392,2017-06-20,en,0.084183673,0.48469387799999997,0.420918367,6,40,1,0,0,1,2018-07-17 07:04,bot
5348,NuLBhnW7J2inPR76+RMwYRfrbvshG2n1jV49fl8D3AI=,NuLBhnW7J2inPR76+RMwYRfrbvshG2n1jV49fl8D3AI=,NuLBhnW7J2inPR76+RMwYRfrbvshG2n1jV49fl8D3AI=,saveh,نگران رفتن ها نباشید زمین گرد است,21,85,243,181,2017-11-09,en,0.116022099,0.46961326,1.3425414359999999,7,33,1,0,0,1,2018-05-09 17:42,bot
10522,UHpbr53H+Tq3A8WsQuutER3AZ3U4kk8rvvIcZoXyYW4=,UHpbr53H+Tq3A8WsQuutER3AZ3U4kk8rvvIcZoXyYW4=,UHpbr53H+Tq3A8WsQuutER3AZ3U4kk8rvvIcZoXyYW4=,"Wichita, Kansas","I am warrior, I'm fearless. No pain, no mercy, no weakness.",558,375,522,160,2014-04-09,en,3.4875,2.34375,3.2625,11,59,3,0,0,1,2014-09-16 15:26,bot
9172,c5daddf3a2ae93022d6c694641d565504445f7f75ec58457e5d574ebfec719d2,c5daddf3a2ae93022d6c694641d565504445f7f75ec58457e5d574ebfec719d2,c5daddf3a2ae93022d6c694641d565504445f7f75ec58457e5d574ebfec719d2,Москва,"балагур,весельчак,работник ОБИ",1932,680,326,725,2013-12-20,ru,2.664827586,0.9379310340000001,0.44965517200000005,4,30,1,0,0,1,2015-12-15 19:29,bot
11440,SNHdSFMsvkTihsKIYsaVu9CHQNlDjRQbxrkY+Plt1Y=,SNHdSFMsvkTihsKIYsaVu9CHQNlDjRQbxrkY+Plt1Y=,SNHdSFMsvkTihsKIYsaVu9CHQNlDjRQbxrkY+Plt1Y=,Carabobo - Venezuela,"Docente de preescolar, alegre, carismatica y sencilla =)",8,10,111,228,2014-05-03,es,0.035087718999999996,0.043859649,0.486842105,7,56,1,0,0,1,2014-12-17 14:58,bot
12420,XYgWDfFW66ggvnSvR2FIYHcdOLGTT6BX3ZmE0sRt+RE=,XYgWDfFW66ggvnSvR2FIYHcdOLGTT6BX3ZmE0sRt+RE=,XYgWDfFW66ggvnSvR2FIYHcdOLGTT6BX3ZmE0sRt+RE=,,"از #کوچه پس کوچه های #شهر
#بی_شهدا ،نمی توان گذشت!...",156,80,122,292,2018-02-07,fa,0.534246575,0.273972603,0.417808219,8,53,4,2,0,0,2018-11-26 10:25,bot
1015,8.72615E+17,Syeda Zainab,Zainab_rizvi1,"Karachi, Pakistan",Photographer | Designer | Social Media Activist | NON-Political | Member & Logo Designer of #HSKPakistan | Admin At #TeamPAIG |💍👑 engaged💫🎉,14445,8388,2397,454,2017-06-08,en,31.81718062,18.47577093,5.279735683,13,139,1,2,0,1,2018-09-05 16:22,bot
8361,35c92d6d9bc3b273b8c182301e7c9ea7cabe5edc8e0aaf93d37974784b9dbde0,35c92d6d9bc3b273b8c182301e7c9ea7cabe5edc8e0aaf93d37974784b9dbde0,35c92d6d9bc3b273b8c182301e7c9ea7cabe5edc8e0aaf93d37974784b9dbde0,MSK,"Тигр, а не котик!",699,140,983,564,2014-05-09,en,1.239361702,0.24822695,1.7429078009999999,4,17,1,0,0,1,2015-11-24 17:41,bot
12157,AvEPCWQpZqVO3OkzYIojAyL864QEa8ZxQntOYevPEOA=,AvEPCWQpZqVO3OkzYIojAyL864QEa8ZxQntOYevPEOA=,AvEPCWQpZqVO3OkzYIojAyL864QEa8ZxQntOYevPEOA=,,"Discover everything of america by this twitter channel, follow us and discover the latest information both political and economic
#TOPPOLITICAL
#NEWSALLAMERICA",3712,2019,4834,73,2016-11-11,es,50.84931507,27.65753425,66.21917808,21,159,1,2,0,0,2017-01-23 22:56,bot
4469,Dh2Y6th9A30wg10TMC343O2wEHFkyfz4mKpOpztZ6L0=,Dh2Y6th9A30wg10TMC343O2wEHFkyfz4mKpOpztZ6L0=,Dh2Y6th9A30wg10TMC343O2wEHFkyfz4mKpOpztZ6L0=,,"Don’t trust words, trust actions",877,71,488,1065,2015-09-11,en,0.823474178,0.066666667,0.45821596200000003,6,32,1,0,0,0,2018-08-11 15:59,bot
